0,23752585,18459665,16789466,14744017,18445928,25115331,15508555,19871945,14971390,17738158
1,26340072,26577900,48512885,38455334,21005324,21499260,26242380,22924349,32283073,21722263
2,20766806,27701732,34017493,17300513,19298388,16773180,27978226,24290213,36914370,40175164
3,29859358,26459410,29622492,34613305,87554108,18098060,18464653,17316045,15387312,23248139
4,17845539,16344178,84505320,17865374,16749334,35739928,134457265,411957597,144733662,64536141
5,18992125,17128996,20354868,18327493,30601117,40282322,7769800,30478683,21138910,44209218
6,32279507,16640576,37767428,35878113,27374713,27135007,76826131,886161150,58455213,182875908
7,34940882,76425075,85194880,57643575,108577010,23149243,28070083,16928671,93143795,112394552
8,13627520,44381150,20503575,29195991,41031420,23243580,56879875,27241375,29550235,6350978
9,91617318,49286690,96431937,36444633,45452082,27966158,21109987,19978652,26948315,31472370
10,32340147,31441367,23096174,18535643,70037980,32710135,17861532,15561172,18492763,71841811